theme,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank,obs_months
Steel_and_Engineering_Materials,APLAPOLLO,Core,-0.1548,0.3098,3.5,23.3945,37.0,23
Steel_and_Engineering_Materials,TATASTEEL,Core,-0.0335,0.6304,7.5,23.6602,33.5,18
Steel_and_Engineering_Materials,PGIL,B,0.8051,0.0464,15.0,13.3963,19.0,18
Steel_and_Engineering_Materials,AIAENG,B,3.3442,0.1333,38.5,26.0318,75.0,17
Industrials_EMS_and_Precision,SHAILY,A,-15.81,0.2536,6.0,8.0829,5.0,27
Industrials_EMS_and_Precision,AVALON,Core,-0.6275,0.6919,0.0,25.7427,28.0,23
Industrials_EMS_and_Precision,SYRMA,B,0.3035,0.3812,12.0,25.5587,35.0,18
Power_and_Electrification,WAAREEENER,A,-0.6932,0.8613,1.5,9.2892,21.0,10
Power_and_Electrification,GVT&D,Core,-0.0232,0.6874,12.0,21.7089,7.0,27
Power_and_Electrification,ADANIPOWER,Core,0.8274,0.0969,24.0,22.9928,55.0,18
Power_and_Electrification,POWERINDIA,Core,1.0159,0.936,7.75,97.0506,13.0,34
Power_and_Electrification,MTARTECH,B,1.3189,-0.1223,29.0,32.3043,66.0,18
Pharma_CDMO_and_Lifesciences,LAURUSLABS,A,-1.0174,0.6271,4.0,19.6894,7.0,21
Pharma_CDMO_and_Lifesciences,SENORES,A,-0.4282,,4.5,9.9216,9.5,8
Pharma_CDMO_and_Lifesciences,ACUTAAS,Core,-0.2802,0.8882,7.5,180.4898,60.0,42
Pharma_CDMO_and_Lifesciences,NAVINFLUOR,Core,0.0787,0.4909,5.0,35.8333,24.0,27
Pharma_CDMO_and_Lifesciences,UPL,Core,0.1163,0.4755,5.0,31.0847,34.0,27
Pharma_CDMO_and_Lifesciences,SAILIFE,Core,0.1669,,8.5,8.7883,19.5,8
Pharma_CDMO_and_Lifesciences,TORNTPHARM,B,1.617,0.3265,11.0,6.59,22.5,14
Pharma_CDMO_and_Lifesciences,STAR,B,6.719,0.5467,46.0,105.7316,12.0,39
Healthcare_Services_and_Diagnostics,THYROCARE,A,-0.371,0.8575,0.0,16.4422,18.0,21
Healthcare_Services_and_Diagnostics,METROPOLIS,Core,0.2131,0.3209,16.0,18.0541,38.0,21
Healthcare_Services_and_Diagnostics,ASTERDM,B,0.9472,0.5962,0.0,27.1088,21.0,27
Alcobev,RADICO,A,-5.5531,0.5362,7.0,11.2509,28.0,18
Alcobev,ABDL,Core,-0.2563,0.7393,1.0,17.9758,10.0,15
Alcobev,TI,B,-0.2023,0.8383,4.5,17.7997,22.5,18
Luxury_and_Discretionary_Retail,THANGAMAYL,A,-0.3036,0.8685,6.0,15.8011,20.0,17
Luxury_and_Discretionary_Retail,TITAN,Core,-0.1715,0.2602,1.5,17.3016,28.0,14
Luxury_and_Discretionary_Retail,AVL,Core,0.1686,0.4538,5.5,21.6101,24.5,16
Luxury_and_Discretionary_Retail,ETHOSLTD,Core,0.4168,0.9386,0.0,47.0617,42.0,42
Luxury_and_Discretionary_Retail,V2RETAIL,B,0.9832,0.157,20.25,8.6554,3.5,18
